sex,age,country,image,estimated_bmi
F,35.0,Latvia,1eaaf2c80ea6486e.jpg,28.4355785313841
M,44.0,Latvia,e85ff43610813242.jpg,24.5702492112249
M,51.0,Latvia,1b9c217034b98b4e.jpg,34.2670131211635
M,48.0,Latvia,fbf6760fd1a6b7f9.jpg,32.7037179456857
M,58.0,Latvia,2ff5caf357d1f61f.jpg,30.566004888304
F,46.0,Latvia,5aaad0d48ab8cf2d.jpg,27.85687032713
M,56.0,Latvia,160cc919d5381cdf.jpg,33.0086447458123
M,48.0,Latvia,951a3a7a853eb0be.jpg,40.9104373440429
M,45.0,Latvia,217566d388a8338e.jpg,29.2922175156857
M,54.0,Latvia,ad0b776a5331446b.jpg,26.3025463074795
F,43.0,Latvia,94f0617406e6f3c.jpg,28.4303971127811
M,64.0,Latvia,8caf98ca2948bff7.jpg,33.8333555072416
M,47.0,Lithuania,f11a5920928688c9.jpg,39.8501631419334
F,42.0,Lithuania,bd62c780eb8b653d.jpg,29.6148061631208
M,35.0,Lithuania,613b3f6073e3e915.jpg,27.1911823324905
M,,Lithuania,58d9e4dd148bc9df.jpg,34.133042718062
M,33.0,Lithuania,c05a3e5e9f3574d0.jpg,30.3183528634379
M,,Lithuania,5fba13ad380b9345.jpg,25.3210368899312
F,50.0,Lithuania,88da497556e4f18.jpg,23.1489338266376
M,49.0,Lithuania,47be48ab163f251e.jpg,33.9410212023571
M,39.0,Lithuania,f233a30a636978e5.jpg,32.7284256289351
M,56.0,Lithuania,52ebb199373b8c6.jpg,29.6446769872204
M,44.0,Lithuania,f26555fae144c123.jpg,32.2073742230631
M,56.0,Lithuania,ab1b9df7e818a45.jpg,40.1883996464194
F,54.0,Lithuania,ef91fe0a92cc6112.jpg,30.2728897521622
M,47.0,Lithuania,3527355f26a94286.jpg,37.8435220233758
M,41.0,Lithuania,d057d342642f7684.jpg,30.1231512315208
M,51.0,Moldova,945b8a1b18a32fa3.jpg,31.4229606575631
M,66.0,Moldova,8a5c61498eacfd3d.jpg,28.9358185327575
M,43.0,Moldova,733b2170df98fa11.jpg,34.3308659863684
M,42.0,Moldova,86f5eb30869152df.jpg,38.046352666081
M,42.0,Moldova,c7fd8a78d8c74c66.jpg,31.5368933846415
M,32.0,Moldova,1e4f656353d92924.jpg,31.1383628082778
M,36.0,Moldova,2b87f321e3872a3b.jpg,34.8870937808587
M,48.0,Moldova,afb186d85703edd3.jpg,29.1909082927808
M,45.0,Moldova,9abe0c2e59814335.jpg,34.0722930054016
F,53.0,Moldova,b117a4c9c825af5d.jpg,31.5739118928964
F,,Moldova,a06df079bcf8e29b.jpg,32.8210354624503
M,36.0,Moldova,6603d80e63c16859.jpg,34.826841496115
M,56.0,Moldova,8238b12510371576.jpg,38.5968790600963
M,52.0,Russia,454c645321798e51.jpg,32.8572760039324
M,50.0,Russia,7e9005e63b8741c3.jpg,31.5958615610447
M,60.0,Russia,8dc2c211e57ee67e.jpg,34.2728115846582
M,58.0,Russia,81deb0f88226e965.jpg,29.209089760543
M,45.0,Russia,7c7eeee924c03d60.jpg,31.1128574938323
M,53.0,Russia,e3faaa1fce33ce4a.jpg,38.6557393758916
F,55.0,Russia,9d26c0b2d34e096d.jpg,34.3591676191588
M,52.0,Russia,34119b00b9c02b81.jpg,28.9697798589022
M,61.0,Russia,60f7a104d9d20196.jpg,30.2556478693888
M,58.0,Russia,4e56a9cb28070a32.jpg,32.3859675742786
M,56.0,Russia,9fd8b1bd501a0a6b.jpg,35.9564996492294
M,58.0,Russia,a649989765a4c676.jpg,35.7966437589822
M,56.0,Russia,cae178c68b4c268c.jpg,36.1444009197164
M,67.0,Russia,c74f9f97bc0c1916.jpg,34.7011292226331
M,35.0,Russia,99f721a8e7abe4e5.jpg,33.9086951355958
M,47.0,Russia,bd46749ea5c603ae.jpg,30.3841888757784
M,62.0,Russia,762893225b21318e.jpg,33.4739410872617
F,57.0,Russia,caefb98017fd0777.jpg,34.4083555787759
M,49.0,Russia,bdcd7e7863f20330.jpg,33.6043881686855
M,56.0,Russia,2dfbe7361026be4a.jpg,31.5074249340942
M,48.0,Russia,5c1c6ff0ef6d92cf.jpg,28.5468465611192
M,49.0,Russia,140e3e3658267c41.jpg,30.8427689169443
M,54.0,Russia,6a19e3e1c46539d6.jpg,30.010095974362
M,35.0,Russia,242f516d2d77a4d7.jpg,38.471369090862
M,50.0,Russia,4cf3f71d2137faed.jpg,27.6213344725482
M,46.0,Russia,be2719ee600f9520.jpg,34.4589070137853
M,49.0,Russia,591e05836add2a93.jpg,36.1492499453137
M,45.0,Russia,8177c5d51241a7fa.jpg,27.5313808743446
M,41.0,Russia,76e1dfd0a44d8a8b.jpg,32.474350079048
M,48.0,Russia,cf4ffb2959299885.jpg,30.1298164260171
M,56.0,Russia,e80911c5e417eb71.jpg,28.5428446676168
M,58.0,Tajikistan,5dd4c8ce162c146d.jpg,31.4455151046273
M,47.0,Tajikistan,d887ea267b560346.jpg,35.2679971650313
